"","V1"
"11","Great product..several pre-installed apps and tons to download. If youre looking for a cheaper alternative to satellite/cable tv, this may be it.  If you have a Roku, this is essentially the same thing with a different name and interface.  Im not sure exactly what other differences there are but theyre likely minor.  They both function practically the same.  Just make sure if you have a big household and you want to use more than one of these (or similar) devices at the same time, that you have sufficient bandwidth.  They have recommendations, but Im sure 30mbps for 2 of these should be enough for simultaneous 1080p streaming.Now why did I take off a star?  The REMOTE.  Its sleek, yes, but a bit TOO sleek.  When you attempt to install the batteries, the back of the remote is INSANELY difficult to remove.  Usually, remotes or other devices have a small slot or tab where you could stick your fingernail in and pry off the door/back.  This has neither.  Theres a hollow ""dip"" where you can put your thumb(s) to slide the door down, but its still very difficult to do.  Horrible, novice design by Amazon and Im sure theyve heard feedback on it by now.  Yes it was that frustrating that I took a star off.  Of course, the difficulty will vary from person to person, but for me it was a headache."
"12","We had a Fire TV stick version 1 for quite a while and it worked great. With voice remote, it would be even better. Or so we thought.We tried everything to get the voice remote to work with our HDTVs and existing wifi router, but there was no way to resolve the issue; we worked with customer service for several hours over several days. Nothing they suggested worked. I reinstalled the version 1 unit.I had already decided to upgrade my router and cable modem but wasn't interested in buying over $100 of equipment to solve a problem with a $40 device. In due time I bought the new router and replaced the cable modem. All of my devices connected without issue.When I tried the version 2 Fire TV stick - the voice remote worked as advertised. I initially believed the problem to be a server issue but it appears to have been a bandwidth problem. As I was able to buy the router on Balck Friday at a discount, the Fire TV stick ver 2 and the router came in at the original price of the router alone, I'm happy."
"13","I purchased this with one thing in mind, my frustrations. I have just about every gadget and doodad imaginable, it’s electronic overload over here. That being said, I was super annoyed with having to air play from my iPad to my Apple TV, and the lag time was frustrating - sometimes things wouldn’t even load at all. Another big reason for my purchase was that I didn’t want to have to login to my Chromebook to rent a movie from Amazon Video... I wanted the ability to rent instantly, and now I can! The apps are more extensive than Apple TV so far, I purchased this one at a great Cyber Monday deal for $24.99, and the voice automated feature is pretty cool but I will say it is kind of annoying that you have to hold a button to use voice control but this is fairly minor and will probably be fixed in generations down the line. I’ve had smart TVs with Apple TV, Chromecast, Blu-Ray smart apps, etc. but so far none of them beat this stick. The best part? There is no learning curve at all, and just took me under ten minutes to setup from start to finish!"
"14","I know why most of you are here. So before I get started, YES. The All-New Amazon Fire TV Stick DOES work with KODI. I repeat, you will STILL be able to sideload Kodi onto this device!Now that we have that incredibly important piece of information out of the way, I will start off by saying the All-New Amazon Fire TV Stick picks off where its ever so popular predecessor left off, offering you one of the most inexpensive ways to stream HOURS of content to your TV.The package itself includes:- The Fire TV Stick- The Remote control WITH Alexa voice control- A Power adapter- 2 AAA batteries (by Amazon basics)- an HDMI extender if the Fire TV Stick does not fit into your TV’s HDMI port.The device itself couldn’t be easier to use. Simply plug it into your TV, and you’re good to go! With this device, you’ll be able to use apps such as Netflix, Pandora, HBO, and even Amazon prime (provided you’re a prime member). You will of course need accounts for all of the previously mentioned apps, but if you do not, you can also use YouTube through this device, which has hours of content on it by itself! If you’re an Amazo Prime member, you will already have access to thousands of TV shows and Movies… just in case you didn’t know!The All New Amazon Fire TV Stick features some changes that are worth mentioning, but if you’re not too tech-savy, just know that this stick performs faster than the older model. This is due to a stronger processor, a 1.3ghz quad core processor vs a 1ghz dual core processor from older models. I WAS a bit disappointed to see that the All-New Fire TV Stick did not upgrade to 2gb of Ram. While 1gb is plenty for streaming in most cases, users may find occasional lag on the home screen, especially when first booting the device up. I’ve found that if I turn on my firestick, and go do something else for a few minutes, or just allow the device some time to boot up, I do not run into this issue. While there has not been an update in ram, I have noticed that navigating the fire stick is MUCH quicker than previous models, which will make anybody happy.Perhaps the biggest change from the previous Fire TV Stick is the remote control. While all of the buttons are the same, you now have a “Voice Control” button on top of the remote control. By pressing this button, you are allowed access to wide range of commands that take all of the grunt work out of browsing your streaming device. For instance, you can ask Alexa to “Find horror movies”, “play music from pandora”, “fast forward 5 minutes”, etc. This feature is ESPECIALLY useful given the difficulties surrounding the use of streaming devices with a remote control that doesn’t have a keyboard or mouse. It is also worth mentioning that the buttons are now made of a soft rubber material, and are easier to use.To conclude, If you’re looking for a portable, depdnable, and easy to use streaming device, this is it. At just under $40.00, It’s hard to say no to perhaps the least expensive streaming device on the market. While I do wish that this model featured 2gb of ram for quicker browsing, 1gb is plenty for what most people will be using this device for; streaming. All in all, I would very much recommend this device!IF you have any questions about this device, please feel free to comment. As somebody who uses Amazon almost daily, I’ll get back to you very shortly."
"15","What can I say? I LOVE my Fire TV Stick - But I HATE Spectrum's lousy UBEE modem with built in Wi-Fi. I called them up and they agreed something was amiss with my two Wi-fi signals. I was told to bring the modem to their office location for a swap out. They gave me an even newer version of their UBEE modem with internal Wi-Fi. I was happy. Happy until I tried to stream Netflix and Amazon Video over the 5gb signal. Within a half hour I can ""Connection with problems"" as my Fire TV Stick likes to call Spectrum's connation. I've had to keep jumping from 2.4 to 5 every half hour or less just to watch a two hour film. If you're here to buy a Fire TV Stick you should also pick up your own Wi-Fi router - I've read that Google has a new one that can't be beat."
"16","Having the previous version of Fire TV Stick and hoping the new Firestick TV with Alexa was going to make everything ""hands free"", I'm disappointed. First, voice searching is confusing. When making a request, some commands work and others are either ignored (start, pause, resume videos) or Alexa says she can't do it. Second, when searching, I get confused which app I'm in (eg, in Amazon Store, I asked for a item and I get video suggestions from Amazon Prime Video.) Grantedl, there are added features that are useful but the learning curve is so steep, I'm frustrated and disappointed at the same time. If wasn't for the sale price, I would not have switched from the previous Firestick"
"17","I have 3 of these and have had no issues at all.  I use the stick for Netflix, DirectTV Now, and Prime Video.  I like how easy it is to setup and the remove works well.  I have had no buffering issues when streaming video.  I do have a mesh wireless network in the house which improves coverage and streaming, and I have 200mb Xfinity internet.  The Fire TV Stick is always response when moving around the menus.  For the price, this is a great way to stream video to any HDMI TV.  I like how I could, if I wanted to, take this on a trip without issue."
"18","So, I have both a Chromecast and a Fire TV stick. Coming from an avid Google fan and a previous proponent of the Chromecast, I have to say that I am loving the Fire TV stick. I would say the main difference is: you do not need a separate device to cast from, which makes everything just a little easier. For example, I usually use my phone to cast Netflix onto my Chromecast and for whatever reason, seeking (rewinding by sliding the play bar) is unnecessarily difficult and inaccurate. The Amazon Fire TV is a little more expensive, but it must be because it has everything built in and has its own remote, which means you don't need a phone, laptop, or tablet to use or control the applications and menus. I never realized how annoying casting was was until I got the Fire TV with the handy remote, which also brings me to compatibility with Amazon Echo. I just purchased the Echo Dot and although the hands-free voice control for Fire TV is a nifty feature, I think the physical remote is the most practical when on the couch. It's another matter entirely when you forget to pause before you casually wander to the kitchen, in which case, you can call out to Alexa and she has your absent minded back :)"
"19","I was really excited to try this... Unfortunately the remote will not power on..tried new batteries and all the troubleshooting possible. Amazon said it is rare but does happen once in awhile and said they would replace it with next day shipping.. but when I checked my orders...it shows as not being shipped for another week. And no...no discounts for inconvenience or having to wait for a working one. So as it stands...I have a NON WORKING FIRE STICK and hopefully get a working device 2 weeks after ordering.I will change my review of the product if the next one I get actually works...if I ever get it."
"20","I've been putting off buying a smart tv because my current one is still in perfect condition. I came across this product during the Black Friday sales and decided to give it a shot. I love it! I can watch Netflix on my tv which was my main goal. I also love that I can watch Prime shows, which I've been neglecting. It was easy to install. The only thing I didn't like was that it needs to be connected to a power outlet and there isn't one close enough, but I made it work. Very affordable compared to the price of upgrading to a smart tv."
"21","It is rare to hear about a product that lives up to the hype, but this is definitely one that does. I am so happy I bought this! So easy to set up and a much clearer connection than I had been getting using a cable from my computer or a connection through my wii. I'm a little mystified by the absence of an on/off switch, but it always seems to work, and it's fun to just talk to it and see how well it can follow my commands. This was recommended by a friend, and I'd like to pass that recommendation along. Not even expensive!"
"22","Upgraded from previous generation Fire stick that did not have voice remote. This fire stick is much faster and the added voice remote is nice (plus this Fire stick works with Alexa). We are big fans of the fire stick devices because they work with so many different services and the UI is good as well (especially for those with Amazon Prime). Our main uses for this device are Playstation Vue, CW app, Netflix, and of course Amazon Prime Video."
"23","So I bought this for my 95 year old grandfather who always says their is 900 channels and nothing on. He likes westerns, so I gave him a crash course in how to to use the fire stick and surprisingly he has picked it up pretty well. Now he can watch all the new and different series or western he wants. I like that I can also watch Netflix or HBOgo on it as well, essentially turning a non smart TV into a smart TV."
"24","Really like this unit. I recently decided to cut the cable from Dish Network. Their prices were headed towards the sky, so I bought this Firestick to replace it.Since I needed to replace Dish, Directv Now was perfect for us. I got their largest package for $70.00. I we get almost every channel we always watched. I did also already have Amazon Prime so we get a bunch of movies and shows."
"25","I got one since they were on sale and needed another one for a TV in the basement.  I have 3 Roku's but wanted to see how the Fire Stick was and now I wish I had all Fire Sticks.  I like that I can get apps right from the menu unlike Roku where I have to go to my phone.  Not a big issue either way but just a little more convenient.  I really like it because the layout of some of the Apps I use are a lot better then with the Roku (Playstation Vue for one)."
"26","So I had the Roku for a long time as a matter of fact it was the first gen 720p one, and as long as it wasn't broken I wasn't worried about when it stopped upgrading and not showing Netflix at all I knew it was time to try something new so I upgraded to the Fire TV Stick and I have loved every moment of!!!!!! When we upgrade to a 4K TV we will be getting the 4K Amazon Fie set top box!!!!"
"27","Talk about a game changer!  We were having to use our old xbox 360 to watch digital tv.  We bought the fire stick after a few friends suggested it and boy are we impressed.  So impressed we bought a second!  We love how easy it is to use and how  my younger child can use the voice controls to put on shows since he can't use the controller properly."
"28","Really easy to install, makes every tv seem like a smart tv. The apps that update do not take long, I never have a space issue either. I have had it for a year now and I can gladly say this product did not disappoint. Worth every cent. Has plenty of games for fun as well as educational games for kids!!"
"29","Purchased in Nov 2016 but am having problems with the remote as of Mar 2017 and I hardly use it! Otherwise, I love it. Will seek to return it and will update my experience."
"30","This crazy thing turns the TV on when there is no one in the room!  It happens in the middle of the night and wakes us up.  I don't like to leave the house with this thing.In addition, we will be watching regular cable TV and this thing suddenly turns on by itself.  Right in the middle of the most dramatic moment, of course!  Then it's a big production to shift back to cable and get back to the program we were watching.I like the older version much better."
"31","fathers day gift, went over wonderfully. while he does not use the voice aspect, this gave my father the ability to watch netflix in his bedroom. hes not getting the full use out of this but its still perfect for what he needed. only bad thing i can say is that while being a prime member, this was ordered before fathers day and not shipped until after, and i was sent 2 instead of 1. not the end of the world but having this shipped on time would have made our fathers day gathering a bit better/"
"32","I'd give it a 10 if I could!  I guess I never really knew what the Fire Stick was about until I talked to a techy friend, so I ordered it.  Took it out of the box last night and within 1 minute I was in business.  So neat.  I love the Alexa feature......I never knew what I was missing.  So EASY to set up too.  So worth the money."
"33","Love the product and the versatility it provides and looking to cancel cable once our contract is up. The only things my I didn't like about the entire process is that UPS delivered it late :( UPS seems to always deliver my packages late and if I'm paying for prime two-day shipping, I expect to get just that. Anyways, another topic for another day! I love the stick and might just buy an extra for the guest bedroom."
"34","Alexa integration is not perfect, you can't search in the apps.  How cool would it be if you said play ______ and it found it in your Plex library or your prime library (or which ever app you own it in) and started playing it!  Now it just takes you to a rental page so you can rent it. I am sure with each update it will get better, but for the price you can't go wrong."
"35","I'm just streaming movies and mini series as fast as I can ... lol!!  I'm very pleased with the Fire Stick, it makes streaming a breeze.  Amazon's selection is on-going and I'm sure it will just get better.  I'm new to the Alexa commands, but having fun with it ... I think it might spoil me!!  Thanks Amazon for a great product!!"
"36","Love this product. As a truck driver it allows me to watch tv in my truck without buying a expensive dish. Thru this little device, I can watch Prime movies and also add Netflix, showtime, Hulu  to my app section. I can also add bluetooth speaker directly to the Stick. (My tv's speakers suck) To me, this is well worth the price."
"37","The death of cable TV!! I absolutely love my Fire Stick with Alexa Voice Remote. I previously did not use the Amazon Instant Video feature that comes with a Prime account, but that has all changed with the addition of the Fire Stick. It is an amazing device that is easy to use and comes with many features and apps (including the amazon instant video). While I do not use a ton of the other apps, it is an amazing device that you can customize to your watching needs (you can use it with Hulu, Netflix, prime, starz, HBO to name a few). The Alexa remote gives you a bunch of the features that you could with an Echo (you can ask it questions like what the forecast will be). In addition you can connect it with Bluetooth speakers! I travel a fair amount on business and always bring my Fire Stick with me. Well worth the money (also very affordable)!"
"38","Seems to work well.  The good: I purchased this item because my Samsung Smart TV's network card failed after 2 1/2 yrs.  This item allowed me to have my Samsung work with the wifi.  (Repair of the network card or replacement of a wifi receiver that works with the Samsung did not seem a viable alternative.)  The bad: The disappointment is the apparent paucity of free apps."
